time[s],angle[deg],amplitude[mV]
384.94220083,194.452591,-0.136264
384.94235142,197.164032,-0.117158
384.9425069,199.963516,-0.1348
384.9425403,200.564896,-0.943415
384.94266223,202.7603,-0.860198
384.94285035,206.147476,-0.371228
384.9429733,208.361237,-0.121999
384.94299452,208.743317,-0.719732
384.94343923,216.750504,-0.241464
384.94347212,217.342712,-0.820848
384.9436528,220.595932,-0.213912
384.94372021,221.809677,-0.462784
384.94424553,231.26828,-0.276817
384.95014471,337.485474,0.280076
384.95022258,338.887573,0.281594
384.95029172,340.132477,0.321653
384.95040462,342.165283,0.369091
384.95041135,342.286438,0.378602
384.95046777,343.302307,0.596344
384.95057743,345.276794,0.304124
384.95066238,346.806366,0.563977
384.9507307,348.036469,0.917486
384.95086212,350.40274,0.320845
384.95091997,351.444366,0.666434
384.95108367,354.391846,0.306018
384.95115436,355.664673,1.578989
384.95129067,358.118988,0.139031
384.95131781,358.607635,0.703234
384.95137927,359.714264,2.122231
384.95149898,1.86969,0.387184
384.95157127,3.171295,1.079464
384.95167593,5.055756,0.409664
384.95172478,5.935303,0.900924
384.95174256,6.255432,1.112097
384.95190976,9.265961,0.410866
384.9520291,11.414734,0.239998
384.95209239,12.554291,0.704226
384.9521956,14.412628,0.41743
384.95225614,15.502655,0.423548
384.95232235,16.694824,0.935305
384.95246574,19.276611,0.390133
384.95257024,21.158173,0.533246
384.95269027,23.319366,0.220102
384.95271959,23.84729,0.850249
384.95285736,26.327881,0.115249
384.95296551,28.275177,0.420177
384.95299399,28.787964,0.601538
384.95312555,31.156769,0.542792
384.95330551,34.397003,0.106082
384.95333232,34.87973,0.46023
384.9534341,36.712341,0.489881
384.95348651,37.656006,0.55725
384.95364695,40.5448,0.503042
384.95375674,42.521606,0.221716
384.95393456,45.723328,0.363362
384.95417867,50.118622,0.315524
384.95421594,50.789703,0.357704
384.95450559,56.004974,0.651772
384.95471176,59.717133,0.431933
384.9604697,163.391235,-0.416927
384.96070681,167.660522,-0.161733
384.96077049,168.807129,-0.297085
384.96078845,169.130493,-0.444898
384.96095194,172.074219,-0.368308
384.96111124,174.942444,-0.315885
384.96115145,175.666443,-0.947082
384.96144817,181.009033,-0.250398
384.96145235,181.08429,-0.559028
384.9615794,183.371887,-0.959278
384.96177355,186.867615,-0.557397
384.96187496,188.693542,-0.263167
384.96204025,191.669678,-0.251613
384.96215019,193.64917,-0.892094
384.96241665,198.446899,-0.519949
384.96266567,202.930603,-0.644345
384.96288705,206.916687,-0.291542
384.96289249,207.014587,-1.122597
384.9630955,210.669922,-0.408348
384.96344155,216.900696,-0.120633
